Section,Category-Internal,Sub-Category-Internal,Category Group-Internal,Heading,Sub-Headings,Section (Node),Prompt (The Question),Field Name,Stage,Multiple Use,Create Node,Category Order,Order,Equifax Fields,Consumer Business,Repeating Applicants,Repeating Entity1,Repeating Entity2,Background Question,Ask When (Node),Ask When,Question ID,Field ID,Source,Form Grouping,Form Group Order,Prompt Grouping,Chad MUO,Chad askWhen,Question Summary,Question In Context,Data Type,Example Answer,Answers,,,,,,,,,,,,,
Quote,Applicant Details,General,Name,Get Quote,,Get a Quote,What is your first name?,First Name,CR,Applicant,,1,30,M,,,,,Y,,,Q_AD_First_Name,F_AD_First_Name,Dealer or Customer,Equifax,1,Name,,,,Customers name is {string},String,Jessica,,,,,,,,,,,,,,
Quote,Applicant Details,General,Name,Get Quote,,Get a Quote,What is your middle name?,Middle Name,CR,Applicant,,2,40,,,,,,Y,,,Q_AD_Middle_Name,F_AD_Middle_Name,Dealer or Customer,,,Name,,,,Customers middle name is {string},String,Rachel,,,,,,,,,,,,,,
Quote,Applicant Details,General,Name,Get Quote,,Get a Quote,What is your last name?,Last Name,CR,Applicant,,3,50,M,,,,,Y,,,Q_AD_Last_Name,F_AD_Last_Name,Dealer or Customer,Equifax,2,Name,,,,Customers last name is {string},String,Perkins,,,,,,,,,,,,,,
Quote,Applicant Details,General,Name,Get Quote,,Get a Quote,What is your gender?,Gender,CR,Applicant,,4,60,M,,,,,,,,Q_AD_Gender,F_AD_Gender,Dealer or Customer,Equifax,3,Name,,,,Customers gender is {string},String,Male,,,,,,,,,,,,,,
Quote,Loan Details,,,Get Quote,,Get a Quote,What is the purpose of the loan?,Loan Purpose,Magic 10,Application,,5,110,,,,,,,,,Q_LD_Loan_Purpose,F_LD_Loan_Purpose,Dealer,,,,,,,The purpose of the loan is {enum},Enum (Single),Refinance,"Purchase Vehicle, Refinance",,,,,,,,,,,,,
Quote,Vehicle Details,,,Get Quote,,Get a Quote,What type of vehicle do you want to buy?,Asset Type,Magic 10,Application,,6,120,,,,,,,,,Q_VD_Asset_Type,F_LD_Asset_Type,Dealer or Customer,,,,,,,The customer would like to buy {enum value} type of vehicle,Enum (Single),Car,"Car, Motor Bike, Caravan, Other",,,,,,,,,,,,,
Quote,Vehicle Details,,,Get Quote,,Get a Quote,Is the vehicle an electric vehicle (EV)?,EV Status,Qualify,Application,,7,130,,,,,,,,,Q_VD_EV_Status,F_VD_EV_Status,Customer,,,,,,Only answer Yes if EV. No for Hybrid.,"{true/false,yes/no}  the customers vehicle is electric",Boolean,Yes,"Yes, No",,,,,,,,,,,,,
Quote,Applicant Details,General,,Get Quote,,Get a Quote,Are you applying by yourself or with another applicant?,Number of Applicants,Magic 10,Application,Create Applicant 2,8,200,,,,,,,,,Q_AD_Number_of_Applicants,F_AD_Number_of_Applicants,Customer,,,,,,,{enum} is/are applying for this loan,Enum (Single),Me only,"Only me, Me and another applicant",multi_button_single_select,Ask anything,Standard,,,,,,,Customer,,,We are only allowing 2 applicants for v1. Increase to 4 for v2.
,Applicant Details,General,Multiple Applicants,Application,[Applicant] - General,Get a Quote,What is your relationship with the 2nd applicant?,Applicant Relationship,Qualify,Applicant,,9,720,,-,,,,,,Q_AD_Number_of_Applicants=Yes,Q_AD_Relationship_With_SecondApplicant,F_AD_Relationship_With_SecondApplicant,Customer,,,,,,,Applicant's Relationship with second applicant is {string},String,"Husband, Wife, Father",,string,Ask anything,Standard,,,,,,,Customer,,,Only ask this as the very first section of the 2nd applicant flow
,,,Accommodation,Application,[Applicant] - Living Situation - [Address],Living Situation ,Is this Your current Address?,Address Check,,,,0,721,,,,,,,,"EXISTS { MATCH (a:Applicant {applicantId: $applicantId})-[:ANSWERED]->(:Datapoint)-[:ANSWERS]->(:Question {questionId: ""Q_AD_Residential_Address_(CustomerCurrent)""}) }",Q_AD_AddressCheck,F_AD_AddressCheck,,,,,,,,,,,,,,,,,,,,,,,,
Quote,Applicant Details,Living Situation,Accommodation,Application,[Applicant] - Living Situation - [Address],Living Situation ,What [is/was] [your/their] [current/prior] residential status?,Residential Status (Customer),M10,Applicant,,1,730,,-,1+,P1+,,,,"EXISTS { MATCH (a:Applicant {applicantId: $applicantId})-[:ANSWERED]->(:Datapoint)-[:ANSWERS]->(:Question {questionId: ""Q_AD_Residential_Address_(CustomerCurrent)""}) }",Q_AD_Residential_Status_(Customer),F_AD_Residential_Status_(Customer),Customer,,,-,Property,always,,Applicant Residential Status is {enum},Enum (Single),Owned Outright,"Renting, Boarding, Owned Outright, Owned Under Finance, Living with Relatives, Employer Provided, Other",multi_button_single_select,Ask anything,Standard,,-,"Owned Outright, Owned Under Finance, Renting, See all options",-,,,,,,
